조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2012,충청남도 부여군,과채류계,풋고추,204851,37.1,669862
2011,충청남도 홍성군,과채류계,풋고추,189916,13.4,785635
2012,충청남도 홍성군,과채류계,풋고추,115769,12.9,206200
2010,충청남도 홍성군,과채류계,풋고추,112830,0.7,73260
2011,충청남도 논산시,과채류계,풋고추,108000,65,251000
2012,충청남도 논산시,과채류계,풋고추,100622,21.5,192401.2
2013,충청남도 홍성군,과채류계,풋고추,99159,33.3,309540
2013,충청남도 부여군,과채류계,풋고추,94735,455.4,4603393
2015,충청남도 예산군,과채류계,풋고추,78745,47.3,292200
2013,충청남도 논산시,과채류계,풋고추,62793,21.3,131758.2
2014,충청남도 논산시,과채류계,풋고추,61532,35.6,120075
2010,충청남도 서산시,과채류계,풋고추,52369,38.7,201907
2011,충청남도 서천군,과채류계,풋고추,51876,105.7,460500
2015,충청남도 부여군,과채류계,풋고추,45231.6,64.8,140264
2015,충청남도 논산시,과채류계,풋고추,42570,29.8,93675
2010,충청남도 공주시,과채류계,풋고추,41540,42,69860
2015,충청남도 공주시,과채류계,풋고추,41072,31.7,142188
2010,충청남도 논산시,과채류계,풋고추,41061,46,93420
2014,충청남도 부여군,과채류계,풋고추,39658,47.5,83801
2012,충청남도 당진시,과채류계,풋고추,39632,97.5,120784
2012,충청남도 서천군,과채류계,풋고추,39624,60.6,114700
2013,충청남도 당진시,과채류계,풋고추,35282,106.1,100430.2
2010,충청남도 당진시,과채류계,풋고추,33366,94.9,105930
2011,충청남도 금산군,과채류계,풋고추,33149,29.7,85402
2013,충청남도 서천군,과채류계,풋고추,31563,54.6,69550
2013,충청남도 예산군,과채류계,풋고추,29162,36.2,68100
2012,충청남도 예산군,과채류계,풋고추,27660,41.5,74050
2014,충청남도 서천군,과채류계,풋고추,27277,33.5,87074.5
2011,충청남도 당진시,과채류계,풋고추,25720,88.5,78369
2015,충청남도 서천군,과채류계,풋고추,25297,27.5,79240
2011,충청남도 예산군,과채류계,풋고추,25000,39.5,70140
2014,충청남도 예산군,과채류계,풋고추,24621,39.7,70828
2013,충청남도 서산시,과채류계,풋고추,23545,28.2,32477
2012,충청남도 금산군,과채류계,풋고추,22689,16.5,39288
2015,충청남도 아산시,과채류계,풋고추,21570,4.5,58650
2014,충청남도 아산시,과채류계,풋고추,21387,4.6,58790
2012,충청남도 서산시,과채류계,풋고추,21139,24.1,56056
2015,충청남도 홍성군,과채류계,풋고추,20070,12.1,40300
2011,충청남도 공주시,과채류계,풋고추,19380,25.4,32790.9
2010,충청남도 예산군,과채류계,풋고추,17500,21.8,38370
2014,충청남도 공주시,과채류계,풋고추,17380,34.9,68652
2013,충청남도 공주시,과채류계,풋고추,16860,23.4,62600
2011,충청남도 서산시,과채류계,풋고추,16243,23.3,33727
2010,충청남도 금산군,과채류계,풋고추,15046,24.4,45697
2013,충청남도 금산군,과채류계,풋고추,14358,21,50273
2015,충청남도 당진시,과채류계,풋고추,10962,29.5,29420
2010,충청남도 청양군,과채류계,풋고추,10900,1.4,3550
2015,충청남도 서산시,과채류계,풋고추,10880,12.3,32467
2012,충청남도 공주시,과채류계,풋고추,10720,26.7,46507
2014,충청남도 당진시,과채류계,풋고추,10405,26.7,30750
2011,충청남도 청양군,과채류계,풋고추,9900,10.1,33400
2013,충청남도 아산시,과채류계,풋고추,9691,11.7,14470
2011,충청남도 보령시,과채류계,풋고추,9542,9.3,14788.2
2011,충청남도 아산시,과채류계,풋고추,9253,32.3,54930
2010,충청남도 아산시,과채류계,풋고추,9253,32.3,54930
2012,충청남도 아산시,과채류계,풋고추,9233,32.3,54860
2012,충청남도 보령시,과채류계,풋고추,8572,9,14593.2
2014,충청남도 보령시,과채류계,풋고추,8542,9,14551
2015,충청남도 천안시,과채류계,풋고추,7822,14.2,8720
2014,충청남도 천안시,과채류계,풋고추,7822,10.8,6851
2014,충청남도 금산군,과채류계,풋고추,7458,10.5,26123
2010,충청남도 태안군,과채류계,풋고추,7137,11.8,28200
2012,충청남도 계룡시,과채류계,풋고추,6945,22.9,18310
2015,충청남도 청양군,과채류계,풋고추,6280,13.9,32307.04
2014,충청남도 청양군,과채류계,풋고추,6280,11.2,23443.24
2012,충청남도 청양군,과채류계,풋고추,5740,0.9,1734
2014,충청남도 홍성군,과채류계,풋고추,5475,0.5,304
2013,충청남도 계룡시,과채류계,풋고추,5115,15.6,14163
2014,충청남도 계룡시,과채류계,풋고추,5115,15.6,14159
2011,충청남도 계룡시,과채류계,풋고추,5038,10.9,13690
2010,충청남도 서천군,과채류계,풋고추,4000,13.5,18000
2015,충청남도 계룡시,과채류계,풋고추,3716,8.9,11000
2015,충청남도 태안군,과채류계,풋고추,3345.5,10.4,5010.8
2013,충청남도 보령시,과채류계,풋고추,3330,1.6,1770
2015,충청남도 보령시,과채류계,풋고추,3300,1.7,1700
2014,충청남도 서산시,과채류계,풋고추,3279,0.7,738
2014,충청남도 태안군,과채류계,풋고추,2050,18.5,6200
2010,충청남도 계룡시,과채류계,풋고추,1819,8,4837
2013,충청남도 태안군,과채류계,풋고추,1321,8.6,3800
2012,충청남도 태안군,과채류계,풋고추,1090,8.6,3100
2013,충청남도 천안시,과채류계,풋고추,1000,2.6,2600
2010,충청남도 부여군,과채류계,호박,517070,40.1,2542520
2012,충청남도 부여군,과채류계,호박,214198,87.3,1775746
2013,충청남도 부여군,과채류계,호박,210308,56.2,954200
2014,충청남도 부여군,과채류계,호박,183118,46.9,834031
2011,충청남도 부여군,과채류계,호박,125430,13.2,607534
2013,충청남도 논산시,과채류계,호박,90473,111.8,570827
2015,충청남도 부여군,과채류계,호박,82352,70.5,363158
2014,충청남도 논산시,과채류계,호박,80282,36,216309
2011,충청남도 예산군,과채류계,호박,78706,75.2,328677
2012,충청남도 논산시,과채류계,호박,74000,25.9,233086
2013,충청남도 예산군,과채류계,호박,71991,26.6,160500
2011,충청남도 논산시,과채류계,호박,70445,42.4,164248
2015,충청남도 논산시,과채류계,호박,67722,36.1,196902
2015,충청남도 예산군,과채류계,호박,63813,40.6,204010
2015,충청남도 공주시,과채류계,호박,63194,59.7,156952
2014,충청남도 예산군,과채류계,호박,51991,26.6,154800
2010,충청남도 논산시,과채류계,호박,50486,40,117850
2011,충청남도 아산시,과채류계,호박,46205,30.5,235000
2013,충청남도 공주시,과채류계,호박,38500,33.5,124780
2012,충청남도 예산군,과채류계,호박,35813,32.9,69598
2014,충청남도 공주시,과채류계,호박,34431,37.1,86732
2010,충청남도 예산군,과채류계,호박,31516,29.7,84132
2010,충청남도 공주시,과채류계,호박,31231,67.7,150500
2013,충청남도 아산시,과채류계,호박,30774,28.1,141950
2015,충청남도 아산시,과채류계,호박,28905,19.3,143300
2014,충청남도 아산시,과채류계,호박,28905,19.3,143300
2012,충청남도 공주시,과채류계,호박,27878,28.1,102200
2012,충청남도 아산시,과채류계,호박,25669,37.7,132628
2014,충청남도 천안시,과채류계,호박,25150,12.4,48992.5
2011,충청남도 공주시,과채류계,호박,24313,48.4,117675.1
2015,충청남도 천안시,과채류계,호박,23035,9.9,37876
2012,충청남도 천안시,과채류계,호박,22620,34.4,146002
2013,충청남도 천안시,과채류계,호박,22458,21.3,94202
2010,충청남도 아산시,과채류계,호박,19869,14.2,92000
2014,충청남도 금산군,과채류계,호박,16866,21.3,65900
2013,충청남도 금산군,과채류계,호박,16866,21.3,65900
2011,충청남도 천안시,과채류계,호박,15858,11.3,59950
2010,충청남도 금산군,과채류계,호박,12768,9.7,41457
2012,충청남도 당진시,과채류계,호박,12220,1.2,4888
2013,충청남도 서산시,과채류계,호박,8760,7.9,17500
2012,충청남도 서산시,과채류계,호박,8760,5.2,14000
2014,충청남도 서산시,과채류계,호박,7851,17.7,24200
2015,충청남도 당진시,과채류계,호박,7000,1.2,2800
2013,충청남도 당진시,과채류계,호박,7000,1.2,2800
2010,충청남도 당진시,과채류계,호박,6557,5.7,13000
2011,충청남도 금산군,과채류계,호박,5889,9.7,19123
2012,충청남도 금산군,과채류계,호박,5879,9.8,19125
2015,충청남도 금산군,과채류계,호박,5548,22.9,42441
2010,충청남도 서산시,과채류계,호박,5286,2.8,5000
2014,충청남도 서천군,과채류계,호박,3345,22.4,18090
2015,충청남도 서산시,과채류계,호박,3000,7.2,7200
2013,충청남도 태안군,과채류계,호박,2990,15.2,15300
2012,충청남도 태안군,과채류계,호박,2990,15.2,15300
2015,충청남도 태안군,과채류계,호박,2900,14.1,14200
2014,충청남도 태안군,과채류계,호박,2900,14.1,14200
2011,충청남도 태안군,과채류계,호박,2320,15.7,12100
2010,충청남도 태안군,과채류계,호박,2320,15.7,12100
2011,충청남도 당진시,과채류계,호박,2300,10.8,8280
2013,충청남도 서천군,과채류계,호박,1050,13.4,4700
2012,충청남도 서천군,과채류계,호박,1050,13.4,4700
2014,충청남도 홍성군,과채류계,호박,999,2.7,900
2013,충청남도 홍성군,과채류계,호박,999,2.7,900
2012,충청남도 홍성군,과채류계,호박,999,2.7,900
2011,충청남도 서천군,과채류계,호박,993,54.7,18100
2012,충청남도 보령시,과채류계,호박,700,2.9,2000
