조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2011,충청남도 부여군,과채류계,멜론,150000,2.9,431250
2012,충청남도 청양군,과채류계,멜론,117347,32.8,155082
2015,충청남도 부여군,과채류계,멜론,110889,83.5,322684
2013,충청남도 논산시,과채류계,멜론,99204,63.6,273017
2011,충청남도 논산시,과채류계,멜론,90400,54.3,192670
2011,충청남도 청양군,과채류계,멜론,84370,27.3,165390
2010,충청남도 공주시,과채류계,멜론,79959,65.7,255824
2015,충청남도 청양군,과채류계,멜론,75544.3,38.1,132274
2010,충청남도 논산시,과채류계,멜론,68210,46.5,150250
2015,충청남도 공주시,과채류계,멜론,64530,14,64755
2015,충청남도 천안시,과채류계,멜론,41780,20.4,125280
2013,충청남도 천안시,과채류계,멜론,39871,18.1,118000
2014,충청남도 천안시,과채류계,멜론,38371,20.6,111400
2010,충청남도 청양군,과채류계,멜론,34544,13.2,56100
2013,충청남도 공주시,과채류계,멜론,33263,22.2,82089
2014,충청남도 공주시,과채류계,멜론,27263,25.1,68429
2012,충청남도 천안시,과채류계,멜론,25094,13.8,59320
2011,충청남도 예산군,과채류계,멜론,24424,27.3,83342
2011,충청남도 공주시,과채류계,멜론,22294,41.8,71746.7
2015,충청남도 예산군,과채류계,멜론,18876,11.4,37447.515
2014,충청남도 예산군,과채류계,멜론,11933,11.4,13047.515
2012,충청남도 공주시,과채류계,멜론,11628,6.8,13112
2011,충청남도 천안시,과채류계,멜론,11414,8.8,27080
2010,충청남도 천안시,과채류계,멜론,11374,10.7,31830
2012,충청남도 예산군,과채류계,멜론,10932,11.4,12763.2
2013,충청남도 예산군,과채류계,멜론,10932,11.4,12763.08
2010,충청남도 예산군,과채류계,멜론,8424,14,29484
2012,충청남도 태안군,과채류계,멜론,4056,7.1,9600
2015,충청남도 서천군,과채류계,멜론,3000,9,9000
2013,충청남도 홍성군,과채류계,멜론,1000,2,2000
2010,충청남도 부여군,근채류계,봄무,118000,12.2,641000
2013,충청남도 예산군,근채류계,봄무,106594,54.1,391593
2014,충청남도 예산군,근채류계,봄무,104594,40,431326
2015,충청남도 예산군,근채류계,봄무,101594,19.8,410200
2012,충청남도 부여군,근채류계,봄무,97000,8.7,420700
2013,충청남도 부여군,근채류계,봄무,84524,30.3,365898
2011,충청남도 예산군,근채류계,봄무,76440,137.5,449766
2014,충청남도 부여군,근채류계,봄무,70992,17,293260
2010,충청남도 예산군,근채류계,봄무,55147,68.9,238560
2012,충청남도 아산시,근채류계,봄무,48692,31.7,212490
2013,충청남도 아산시,근채류계,봄무,46510,27.3,219988
2011,충청남도 아산시,근채류계,봄무,41624,32.7,215700
2012,충청남도 예산군,근채류계,봄무,40000,57.9,172247
2010,충청남도 아산시,근채류계,봄무,27045,26.6,139000
2012,충청남도 당진시,근채류계,봄무,26960,62.6,288860
2015,충청남도 당진시,근채류계,봄무,24960,15,75890
2013,충청남도 당진시,근채류계,봄무,24960,15.1,75988
2011,충청남도 서산시,근채류계,봄무,22411,63.8,101820
2013,충청남도 서산시,근채류계,봄무,20545,8.3,36727
2011,충청남도 당진시,근채류계,봄무,18860,29.2,68838
2015,충청남도 아산시,근채류계,봄무,18260,62.4,277284
2014,충청남도 아산시,근채류계,봄무,18260,62.4,277284
